Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_50,VGND,li1,29.2100,43.5200,0.000014
FILLER_11_42,VGND,li1,26.6800,43.5200,0.000012
FILLER_11_30,VGND,li1,22.0800,43.5200,0.000011
FILLER_11_23,VGND,li1,16.3300,43.5200,0.000012
FILLER_11_15,VGND,li1,14.2600,43.5200,0.000012
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000013
FILLER_10_141,VGND,li1,71.3000,38.0800,0.000021
FILLER_10_114,VGND,li1,58.1900,38.0800,0.000019
FILLER_10_108,VGND,li1,56.5800,38.0800,0.000019
FILLER_10_96,VGND,li1,52.4400,38.0800,0.000019
FILLER_10_76,VGND,li1,42.3200,38.0800,0.000016
FILLER_10_64,VGND,li1,37.7200,38.0800,0.000015
FILLER_10_43,VGND,li1,25.5300,38.0800,0.000011
FILLER_10_35,VGND,li1,23.4600,38.0800,0.000010
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000012
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000013
FILLER_10_19,VGND,li1,15.1800,38.0800,0.000014
FILLER_10_7,VGND,li1,10.1200,38.0800,0.000015
FILLER_9_140,VGND,li1,71.7600,38.0800,0.000021
FILLER_9_121,VGND,li1,61.8700,38.0800,0.000020
FILLER_9_113,VGND,li1,59.3400,38.0800,0.000020
FILLER_9_111,VGND,li1,56.8100,38.0800,0.000019
FILLER_9_103,VGND,li1,54.7400,38.0800,0.000019
FILLER_9_81,VGND,li1,43.0100,38.0800,0.000016
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000016
FILLER_9_63,VGND,li1,34.7300,38.0800,0.000014
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000013
FILLER_9_42,VGND,li1,27.6000,38.0800,0.000012
FILLER_9_14,VGND,li1,13.8000,38.0800,0.000014
FILLER_9_10,VGND,li1,10.3500,38.0800,0.000015
FILLER_9_6,VGND,li1,9.2000,38.0800,0.000015
FILLER_8_147,VGND,li1,73.3700,32.6400,0.000015
FILLER_8_141,VGND,li1,71.7600,32.6400,0.000015
FILLER_8_139,VGND,li1,69.6900,32.6400,0.000015
FILLER_8_131,VGND,li1,67.6200,32.6400,0.000015
FILLER_8_119,VGND,li1,63.0200,32.6400,0.000014
FILLER_8_107,VGND,li1,57.5000,32.6400,0.000013
FILLER_8_95,VGND,li1,51.9800,32.6400,0.000013
FILLER_8_89,VGND,li1,46.6900,32.6400,0.000012
FILLER_8_85,VGND,li1,45.5400,32.6400,0.000012
FILLER_8_59,VGND,li1,33.1200,32.6400,0.000011
FILLER_8_40,VGND,li1,24.3800,32.6400,0.000008
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000010
FILLER_7_141,VGND,li1,71.3000,32.6400,0.000015
FILLER_7_121,VGND,li1,61.6400,32.6400,0.000014
FILLER_7_113,VGND,li1,59.3400,32.6400,0.000014
FILLER_7_110,VGND,li1,56.5800,32.6400,0.000013
FILLER_7_73,VGND,li1,39.7900,32.6400,0.000011
FILLER_7_65,VGND,li1,37.2600,32.6400,0.000011
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000010
FILLER_7_46,VGND,li1,28.5200,32.6400,0.000010
FILLER_7_42,VGND,li1,25.0700,32.6400,0.000008
FILLER_7_38,VGND,li1,23.9200,32.6400,0.000008
FILLER_7_20,VGND,li1,16.5600,32.6400,0.000009
FILLER_7_15,VGND,li1,12.8800,32.6400,0.000010
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000010
FILLER_6_141,VGND,li1,71.3000,27.2000,0.000043
FILLER_6_136,VGND,li1,69.0000,27.2000,0.000043
FILLER_6_118,VGND,li1,60.2600,27.2000,0.000041
FILLER_6_106,VGND,li1,57.0400,27.2000,0.000041
FILLER_6_79,VGND,li1,42.3200,27.2000,0.000033
FILLER_6_54,VGND,li1,30.5900,27.2000,0.000024
FILLER_6_48,VGND,li1,28.9800,27.2000,0.000024
FILLER_6_32,VGND,li1,22.0800,27.2000,0.000024
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000031
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000034
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000038
FILLER_5_146,VGND,li1,73.1400,27.2000,0.000043
FILLER_5_113,VGND,li1,59.3400,27.2000,0.000041
FILLER_5_104,VGND,li1,55.2000,27.2000,0.000040
FILLER_5_92,VGND,li1,50.6000,27.2000,0.000039
FILLER_5_88,VGND,li1,46.2300,27.2000,0.000036
FILLER_5_78,VGND,li1,41.6300,27.2000,0.000033
FILLER_5_70,VGND,li1,39.5600,27.2000,0.000032
FILLER_5_61,VGND,li1,34.9600,27.2000,0.000029
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000026
FILLER_4_141,VGND,li1,71.3000,21.7600,0.000037
FILLER_4_136,VGND,li1,69.0000,21.7600,0.000037
FILLER_4_126,VGND,li1,63.7100,21.7600,0.000037
FILLER_4_120,VGND,li1,62.1000,21.7600,0.000037
FILLER_4_108,VGND,li1,57.9600,21.7600,0.000036
FILLER_4_96,VGND,li1,52.4400,21.7600,0.000036
FILLER_4_85,VGND,li1,46.4600,21.7600,0.000035
FILLER_4_80,VGND,li1,43.2400,21.7600,0.000034
FILLER_4_67,VGND,li1,37.7200,21.7600,0.000031
FILLER_4_7,VGND,li1,8.9700,21.7600,0.000037
FILLER_4_3,VGND,li1,7.8200,21.7600,0.000037
